PHylis tout eſt ... outu, ie meurs de la verolle,	PHylis tout est ...outu, je meurs de la vérole,
Elle exerce ſur moy ſa derniere rigueur.	Elle excerce sur moi la dernière rigueur.
Vn vlcere puant a gaſté ma parole.	Un ulcère puant a gâté ma parole.
I'ay ſué trente iours, i'ay vomy de la colle	J’ai sué trente jours, j’ai vomi de la colle
L'eſprit le plus conſtant fut mort à ma langueur,	L’esprit le plus constant fut mort à ma langueur,
Et mon affliction n'a rien qui la conſole,	Et mon affliction n’a rien qui la console,
Mes amis plus ſecrets ne m'oſent approcher,	Mes amis plus secrets ne m’osent approcher,
Moy-meſme en ceſt eſtat ie ne m'oſe toucher,	Moi-même en cet état je ne m’ose toucher,
Philis le mal me vient de vous auoir ...tuë.	Philis le mal me vient de vous avoir ...tue.
Mon Dieu ie me repens d'auoir ſi mal veſcu:	Mon Dieu je me repens d’avoir si mal vécu:
Je fais veu deſormais de ne ...tre qu'en cu.	Je fais vœu désormais de ne ...tre qu’en cu.
Vous qui cenſurez la Satyre,	Vous qui censurez la Satyre,
On a tant de difficulté,	On a tant de difficulté,
Ne donnez vous pas vn indice	Ne donnez vous pas un indice
En fuyant le blaſme du vice,	En fuyant le blâme du vice,
Que vous aymez l'impieté.	Que vous aimez l’impiété.
Nos vers ſont plains d'inſtruction	Nos vers sont pleins d’instruction
Blaſmans la ſalle affection,	Blâmant la sale affection
Pour attiſer dedans vos cœurs	Pour attiser dedans vos cœurs
Ces trop illegitimes flames,	Ces trop illégitimes flammes,
Autrement vos intemperances	Autrement vos intempérances
